OFFENSE_CODE_GROUP,DISTRICT,REPORTING_AREA,YEAR,MONTH,DAY_OF_WEEK,HOUR,STREET
Larceny,D14,808,2018,9,Sunday,13,LINCOLN ST
Vandalism,C11,347,2018,8,Tuesday,0,HECLA ST
Towed,D4,151,2018,9,Monday,19,CAZENOVE ST
Investigate Property,D4,272,2018,9,Monday,21,NEWCOMB ST
Investigate Property,B3,421,2018,9,Monday,21,DELHI ST
Motor Vehicle Accident Response,C11,398,2018,9,Monday,21,TALBOT AVE
Auto Theft,B2,330,2018,9,Monday,21,NORMANDY ST
Verbal Disputes,B2,584,2018,9,Monday,20,LAWN ST
Robbery,C6,177,2018,9,Monday,20,MASSACHUSETTS AVE
Verbal Disputes,C11,364,2018,9,Monday,20,LESLIE ST
Verbal Disputes,C6,913,2018,9,Monday,19,OCEAN VIEW DR
Investigate Property,C6,936,2018,9,Monday,20,DALESSIO CT
Fire Related Reports,D4,139,2018,9,Monday,19,MARLBOROUGH ST
Other,B3,429,2018,9,Monday,20,WOODROW AVE
Property Lost,B3,469,2018,9,Sunday,14,MULVEY ST
Medical Assistance,,0,2018,9,Monday,19,
Verbal Disputes,C11,341,2018,9,Monday,18,STONEHURST ST
Assembly or Gathering Violations,D4,130,2018,9,Monday,17,HUNTINGTON AVE
Other,B2,901,2018,9,Monday,19,HORADAN WAY
Larceny From Motor Vehicle,B2,181,2018,9,Sunday,18,SHIRLEY ST
Medical Assistance,,0,2018,9,Monday,18,WOLCOTT
Motor Vehicle Accident Response,A1,69,2018,9,Monday,18,BEACON ST
Medical Assistance,B3,434,2018,9,Monday,18,CAPEN ST
Motor Vehicle Accident Response,E5,550,2018,9,Monday,18,WASHINGTON ST
Residential Burglary,B2,911,2018,9,Monday,18,ANNUNCIATION RD
Motor Vehicle Accident Response,,0,2018,9,Monday,18,
Medical Assistance,D4,172,2018,9,Monday,18,MASSACHUSETTS AVE
Simple Assault,C11,242,2018,9,Monday,18,ANNAPOLIS ST
Restraining Order Violations,C11,242,2018,9,Monday,18,ANNAPOLIS ST
Other,B3,463,2018,9,Monday,18,BLUE HILL AVE
Violations,B3,428,2018,9,Monday,18,CLARKWOOD ST
Harassment,B3,464,2018,9,Monday,18,HANSBOROUGH ST
Simple Assault,C11,351,2018,9,Monday,19,SALISBURY PARK
Ballistics,B2,330,2018,9,Monday,18,COLUMBIA RD
Property Found,A7,30,2018,9,Monday,16,COTTAGE ST
Larceny From Motor Vehicle,B3,427,2018,9,Monday,18,WILMORE ST
Larceny,B2,276,2018,9,Monday,17,SHAWMUT AVE
Police Service Incidents,E13,303,2018,9,Sunday,20,BRAGDON ST
Fire Related Reports,B3,432,2018,9,Monday,18,CALLENDER ST
Drug Violation,, ,2018,9,Monday,18,
Warrant Arrests,, ,2018,9,Monday,18,
Drug Violation,, ,2018,9,Monday,18,
Robbery,A1,76,2018,9,Monday,15,
Vandalism,D4,149,2018,9,Saturday,12,W NEWTON ST
Motor Vehicle Accident Response,C11,402,2018,9,Monday,15,WASHINGTON ST
Larceny,B3,456,2018,9,Monday,17,ELLINGTON ST
Motor Vehicle Accident Response,B2,901,2018,9,Monday,15,WARD ST
Vandalism,C11,356,2018,9,Monday,15,GENEVA AVE
Medical Assistance,A1,116,2018,9,Monday,17,BEACH ST
Verbal Disputes,B3,441,2018,9,Monday,16,NIGHTINGALE ST
Motor Vehicle Accident Response,E5,562,2018,9,Monday,15,WASHINGTON ST
Motor Vehicle Accident Response,C11,244,2018,9,Monday,16,E COTTAGE ST
Simple Assault,A1,116,2018,9,Monday,16,BEACH ST
Disorderly Conduct,A1,116,2018,9,Monday,16,BEACH ST
Larceny,A1,102,2018,9,Monday,16,WINTER ST
Other,B2,327,2018,9,Monday,15,WAYLAND ST
